order_id,customer_id,order_date,product_category,order_amount
O000001,C00093,2023-10-01,Sports,377.67
O000002,C09673,2023-08-20,Books,950.96
O000003,C05599,2023-12-12,Sports,733.33
O000004,C04433,2023-07-22,Toys,600.67
O000005,C06975,2023-01-19,Sports,160.24
O000006,C09008,2023-06-09,Toys,160.21
O000007,C08728,2023-08-23,Beauty,62.79
O000008,C08113,2022-07-16,Electronics,866.85
O000009,C03950,2023-09-10,Clothing,603.11
O000010,C00821,2023-05-04,Home,709.53
O000011,C05797,2022-06-08,Sports,25.48
O000012,C08479,2022-12-21,Beauty,970.06
O000013,C08235,2022-04-15,Clothing,833.28
O000014,C07025,2024-02-16,Beauty,216.28
O000015,C08746,2022-01-30,Home,185.92
O000016,C02041,2023-07-03,Home,187.49
O000017,C00953,2023-09-05,Home,307.72
O000018,C02636,2023-03-08,Home,527.13
O000019,C05416,2023-03-24,Sports,434.79
O000020,C03480,2022-11-01,Electronics,294.77
O000021,C01549,2022-03-30,Toys,613.79
O000022,C02239,2023-04-21,Beauty,143.8
O000023,C09664,2022-06-23,Home,295.68
O000024,C02886,2023-07-14,Toys,369.53
O000025,C06921,2023-12-15,Beauty,458.79
O000026,C06875,2023-07-16,Books,786.25
O000027,C02094,2022-11-27,Clothing,203.68
O000028,C05182,2023-12-03,Electronics,516.66
O000029,C04459,2023-01-14,Home,594.45
O000030,C08116,2022-04-04,Toys,51.22
O000031,C08330,2023-07-01,Beauty,609.51
O000032,C00798,2023-08-02,Electronics,174.67
O000033,C00536,2023-01-12,Clothing,69.73
O000034,C09234,2023-11-01,Beauty,949.14
O000035,C05371,2022-12-02,Toys,965.8
O000036,C08449,2022-08-24,Clothing,809.36
O000037,C00848,2023-09-05,Toys,308.09
O000038,C05012,2022-10-15,Home,102.18
O000039,C00232,2022-12-21,Electronics,685.81
O000040,C01485,2022-07-27,Electronics,442.95
O000041,C04815,2022-10-11,Books,126.43
O000042,C06326,2022-12-21,Clothing,497.7
O000043,C02002,2022-06-22,Electronics,39.22
O000044,C05169,2022-08-01,Clothing,909.77
O000045,C09968,2023-06-22,Beauty,262.49
O000046,C07649,2024-01-29,Electronics,664.21
O000047,C00213,2023-01-10,Home,315.15
O000048,C00670,2022-06-23,Books,522.47
O000049,C00420,2022-04-23,Sports,548.98
O000050,C01153,2022-10-28,Clothing,188.93
O000051,C09502,2023-02-25,Toys,969.74
O000052,C00911,2022-05-08,Clothing,776.26
O000053,C00573,2022-03-20,Beauty,939.8
O000054,C07386,2024-01-02,Clothing,895.35
O000055,C03435,2022-03-23,Sports,599.91
O000056,C08505,2022-03-01,Electronics,922.26
O000057,C08298,2024-01-09,Sports,93.05
O000058,C05247,2023-01-13,Clothing,200.0
O000059,C04222,2022-12-22,Electronics,50.0
O000060,C06431,2023-09-02,Home,328.7
O000061,C07226,2024-01-05,Beauty,391.73
O000062,C03798,2023-04-19,Toys,274.99
O000063,C05064,2024-01-24,Electronics,829.59
O000064,C08129,2023-08-06,Clothing,359.97
O000065,C04638,2024-02-03,Beauty,284.53
O000066,C03998,2024-01-01,Toys,544.98
O000067,C06585,2022-10-15,Sports,145.22
O000068,C09380,2022-07-09,Toys,803.19
O000069,C03801,2022-06-25,Beauty,79.18
O000070,C09401,2024-02-07,Beauty,986.95
O000071,C00532,2022-09-10,Books,773.38
O000072,C09085,2024-03-18,Clothing,202.72
O000073,C09903,2022-10-10,Clothing,10.49
O000074,C04527,2022-04-17,Sports,816.38
O000075,C01715,2022-09-09,Electronics,708.32
O000076,C03452,2022-05-30,Toys,730.36
O000077,C01759,2022-11-10,Toys,772.41
O000078,C09411,2022-06-15,Toys,78.67
O000079,C08703,2023-02-28,Books,361.67
O000080,C05210,2023-12-09,Books,120.29
O000081,C09425,2022-06-18,Home,863.79
O000082,C06193,2023-06-05,Toys,625.18
O000083,C08157,2023-09-22,Sports,334.24
O000084,C01109,2024-01-22,Books,68.24
O000085,C08580,2023-07-06,Home,314.43
O000086,C03589,2023-09-10,Electronics,328.56
O000087,C02351,2024-02-01,Home,730.96
O000088,C01790,2022-08-06,Home,639.37
O000089,C03296,2023-01-20,Electronics,887.78
O000090,C00218,2022-11-22,Books,474.85
O000091,C05737,2022-04-28,Electronics,124.0
O000092,C04814,2023-09-23,Electronics,714.68
O000093,C02062,2022-12-24,Home,761.98
O000094,C08873,2023-02-27,Toys,563.47
O000095,C04148,2022-11-27,Sports,772.11
O000096,C02870,2024-01-04,Home,496.33
O000097,C05874,2022-10-11,Beauty,525.12
O000098,C01111,2023-01-01,Sports,430.4
O000099,C01697,2023-12-10,Clothing,30.29
O000100,C01419,2024-02-13,Home,112.35
O000101,C09551,2023-02-22,Clothing,36.27
O000102,C00686,2022-01-08,Home,638.23
O000103,C03217,2022-08-20,Books,317.78
O000104,C05790,2022-12-24,Beauty,511.03
O000105,C09850,2023-02-18,Beauty,908.03
O000106,C04919,2023-01-27,Clothing,253.05
O000107,C00236,2022-05-06,Electronics,413.33
O000108,C09468,2023-09-29,Beauty,756.77
O000109,C04814,2023-05-20,Sports,232.65
O000110,C02721,2022-07-17,Toys,81.6
O000111,C09461,2023-08-13,Electronics,293.3
O000112,C04632,2024-01-17,Home,165.42
O000113,C01034,2023-09-30,Sports,930.05
O000114,C02973,2023-01-21,Books,809.08
O000115,C05137,2022-09-25,Electronics,635.24
O000116,C09253,2022-03-07,Clothing,872.1
O000117,C07348,2023-05-06,Beauty,804.65
O000118,C09661,2024-02-09,Home,190.64
O000119,C00596,2023-02-09,Home,893.1
O000120,C03740,2023-11-04,Beauty,541.65
O000121,C02286,2023-10-04,Toys,808.4
O000122,C04046,2024-01-21,Beauty,896.61
O000123,C09140,2023-11-12,Sports,321.41
O000124,C08885,2022-12-13,Home,114.5
O000125,C07335,2023-04-24,Books,231.8
O000126,C06861,2022-01-05,Sports,429.97
O000127,C07672,2023-05-11,Books,818.92
O000128,C06377,2023-04-05,Electronics,861.43
O000129,C07049,2023-09-01,Sports,11.92
O000130,C00595,2022-09-29,Books,513.19
O000131,C06345,2023-08-19,Clothing,420.32
O000132,C02709,2022-04-09,Electronics,226.0
O000133,C08579,2022-06-26,Toys,124.27
O000134,C09458,2022-01-03,Books,340.93
O000135,C05246,2022-02-21,Electronics,943.2
O000136,C01164,2022-07-14,Toys,326.59
O000137,C03310,2022-05-14,Home,521.2
O000138,C05075,2023-01-12,Home,704.5
O000139,C00274,2023-06-09,Toys,366.81
O000140,C03481,2023-11-01,Books,971.92
O000141,C09244,2023-01-25,Toys,962.64
O000142,C07707,2023-01-21,Sports,255.52
O000143,C09014,2022-07-19,Beauty,499.76
O000144,C03570,2023-05-11,Books,304.37
O000145,C08746,2022-02-01,Toys,288.42
O000146,C07556,2022-06-30,Clothing,41.7
O000147,C04699,2022-03-23,Home,611.52
O000148,C04755,2023-02-26,Toys,505.17
O000149,C03186,2024-02-27,Beauty,56.22
O000150,C00350,2023-08-02,Clothing,282.25
O000151,C08652,2024-01-06,Books,908.72
O000152,C01638,2023-06-15,Beauty,243.36
O000153,C08365,2023-05-03,Clothing,149.17
O000154,C03221,2022-01-29,Books,492.01
O000155,C06676,2023-07-31,Sports,985.72
O000156,C03913,2022-03-08,Clothing,245.84
O000157,C02640,2022-06-04,Electronics,673.77
O000158,C09314,2023-12-24,Toys,762.81
O000159,C03351,2023-03-22,Electronics,241.45
O000160,C07336,2023-03-04,Clothing,729.58
O000161,C00140,2023-12-18,Electronics,370.94
O000162,C02956,2023-04-19,Beauty,634.14
O000163,C06306,2022-04-23,Sports,635.36
O000164,C06257,2023-05-01,Sports,538.1
O000165,C03971,2022-08-11,Sports,94.84
O000166,C08353,2023-07-21,Sports,836.13
O000167,C02734,2022-05-20,Beauty,324.18
O000168,C00073,2022-08-09,Clothing,190.59
O000169,C07732,2022-07-30,Electronics,45.57
O000170,C02006,2023-04-28,Beauty,592.94
O000171,C05706,2023-09-11,Toys,679.18
O000172,C05062,2023-05-18,Clothing,21.5
O000173,C09163,2022-04-09,Books,514.53
O000174,C01309,2022-08-07,Home,230.36
O000175,C09027,2022-01-25,Home,646.95
O000176,C05337,2024-03-12,Sports,178.49
O000177,C01921,2024-03-27,Beauty,692.48
O000178,C03645,2022-06-13,Home,389.8
O000179,C03658,2023-10-11,Beauty,937.05
O000180,C01728,2023-05-09,Clothing,141.83
O000181,C01273,2022-03-14,Electronics,344.36
O000182,C07699,2023-11-13,Home,117.91
O000183,C08346,2022-12-29,Beauty,925.07
O000184,C06799,2022-04-01,Sports,877.95
O000185,C00926,2022-08-10,Books,261.65
O000186,C05589,2022-08-12,Books,661.68
O000187,C07172,2022-05-30,Clothing,818.14
O000188,C07358,2023-03-19,Toys,557.42
O000189,C06652,2023-08-23,Beauty,532.0
O000190,C07411,2022-02-10,Home,245.64
O000191,C08083,2022-04-05,Electronics,97.64
O000192,C01172,2023-07-11,Home,897.73
O000193,C09715,2023-05-16,Sports,900.92
O000194,C02238,2023-10-05,Clothing,634.94
O000195,C09154,2022-07-15,Electronics,342.33
O000196,C09055,2024-03-11,Clothing,352.46
O000197,C09942,2023-03-07,Electronics,727.33
O000198,C02209,2022-09-09,Sports,897.62
O000199,C00547,2023-05-25,Home,887.65
O000200,C03731,2023-01-20,Clothing,780.98
O000201,C00968,2022-07-03,Toys,643.82
O000202,C02558,2023-05-09,Sports,88.72
O000203,C08695,2024-02-26,Books,165.82
O000204,C07274,2022-11-02,Toys,899.06
O000205,C05237,2022-06-14,Electronics,608.4
O000206,C07174,2022-02-18,Electronics,14.15
O000207,C04421,2023-07-07,Toys,105.96
O000208,C00549,2024-01-29,Toys,665.18
O000209,C05858,2023-02-14,Toys,10.04
O000210,C08250,2022-02-19,Home,165.0
O000211,C03043,2022-02-08,Electronics,550.99
O000212,C03904,2022-07-02,Toys,693.44
O000213,C00212,2022-04-15,Books,653.7
O000214,C03428,2023-09-30,Toys,228.15
O000215,C06843,2022-04-24,Clothing,713.62
O000216,C00213,2022-06-05,Clothing,241.06
O000217,C06195,2023-11-30,Clothing,328.77
O000218,C07175,2022-11-04,Home,747.76
O000219,C08009,2022-03-21,Toys,651.38
O000220,C08682,2023-02-18,Clothing,849.98
O000221,C07900,2023-10-22,Electronics,659.32
O000222,C01815,2022-10-19,Home,570.47
O000223,C09743,2022-10-05,Toys,98.21
O000224,C02782,2023-10-24,Clothing,370.88
O000225,C04363,2023-04-12,Electronics,268.88
O000226,C09783,2023-09-26,Electronics,247.77
O000227,C07736,2023-02-23,Home,973.15
O000228,C02867,2023-06-18,Home,396.13
O000229,C06194,2023-07-05,Books,892.59
O000230,C05303,2022-06-10,Sports,632.98
O000231,C05597,2022-09-20,Sports,795.84
O000232,C07625,2023-07-13,Sports,505.12
O000233,C01051,2023-09-07,Clothing,579.02
O000234,C03103,2022-09-04,Clothing,495.06
O000235,C06634,2022-05-16,Books,199.27
O000236,C04618,2022-07-21,Home,723.84
O000237,C09441,2023-10-11,Beauty,284.37
O000238,C06787,2022-03-25,Home,29.19
O000239,C07810,2023-04-04,Clothing,647.24
O000240,C04240,2023-10-06,Clothing,181.23
O000241,C05956,2022-09-24,Books,940.76
O000242,C01553,2023-07-07,Clothing,954.16
O000243,C05066,2023-12-25,Toys,915.29
O000244,C05184,2022-11-05,Sports,373.31
O000245,C03750,2023-12-01,Clothing,20.38
O000246,C07416,2023-06-01,Toys,928.68
O000247,C05840,2023-04-27,Toys,431.04
O000248,C02912,2024-01-09,Toys,966.82
O000249,C05824,2022-09-27,Toys,963.8
O000250,C07265,2022-04-26,Clothing,853.74
O000251,C04923,2023-01-19,Books,297.98
O000252,C04869,2022-05-27,Electronics,388.17
O000253,C08491,2022-01-14,Toys,851.88
O000254,C08714,2024-03-08,Electronics,320.34
O000255,C02396,2022-08-02,Electronics,173.65
O000256,C05295,2022-04-09,Electronics,559.02
O000257,C02286,2022-11-03,Beauty,936.47
O000258,C06870,2023-04-21,Home,697.55
O000259,C09889,2023-01-18,Electronics,572.21
O000260,C09396,2022-11-13,Toys,101.69
O000261,C00796,2023-11-26,Electronics,616.93
O000262,C01844,2023-06-14,Books,990.1
O000263,C08530,2024-02-03,Books,144.38
O000264,C05986,2023-06-20,Sports,520.74
O000265,C01708,2022-01-26,Clothing,877.99
O000266,C01688,2024-03-24,Electronics,742.06
O000267,C01839,2023-01-24,Toys,698.53
O000268,C05156,2022-03-29,Toys,703.97
O000269,C07091,2023-04-28,Home,362.69
